2026-01-01 00:08:23.810 | INFO     | maas.ext.maas.scripts.optimizer:test:142 - maas/ext/maas/scripts/optimized/AIME25/train/round_1/AIME25_controller_sample1.pth
2026-01-01 00:08:28.222 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:08:28.460 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:08:29.837 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:08:29.968 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:08:31.164 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:08:31.825 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:08:32.005 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:08:32.090 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:08:32.491 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:08:32.766 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:08:33.600 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:19:57.287 | INFO     | maas.ext.maas.scripts.optimizer:test:142 - maas/ext/maas/scripts/optimized/AIME25/train/round_1/AIME25_controller_sample1.pth
2026-01-01 00:20:01.643 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:01.818 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:03.750 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:04.462 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:05.423 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:05.978 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:06.848 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:06.966 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:07.414 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:08.441 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:09.597 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:10.667 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:14.166 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:14.305 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:15.149 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:15.275 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:16.018 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:16.270 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:16.959 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:17.309 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:17.462 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:19.540 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:23.189 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:28.408 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:29.890 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:30.208 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:30.906 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:31.789 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:32.013 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:32.144 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:32.623 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:33.312 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:33.387 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:34.419 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:37.457 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:38.430 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:39.433 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:39.901 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:40.038 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:40.496 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
2026-01-01 00:20:43.090 | WARNING  | maas.provider.openai_api:_calc_usage:272 - usage calculation failed: num_tokens_from_messages() is not implemented for model gpt-5-mini. See https://cookbook.openai.com/examples/how_to_count_tokens_with_tiktoken for information on how messages are converted to tokens.
